Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
59	Wetslug	Starstruck	Horde	89.9	35	Feb 9	1:41:31	Crown of Tyranny (13359)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Legionnaire's Mail Hauberk (22876)	Frostwolf Mail Belt (19088)	Devilsaur Leggings (15062)	Blood Guard's Mail Greaves (22857)	Slashclaw Bracers (13211)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Band of Accuria (17063)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Frostwolf Legionnaire's Cloak (19083)	Nightfall (19169)	N/A	N/A
60	멍구짱	N/A	Unknown	89.7	40	Jan 26	1:55:09	Crown of Destruction (18817)	Eskhandar's Collar (18205)	Truestrike Shoulders (12927)	Tombstone Breastplate (13944)	Bloodmail Belt (14614)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Slashclaw Bracers (13211)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Blackstone Ring (17713)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Earthshaker (17073)	N/A	Egan's Blaster (13289)
61	Jiexshaman	Myth	Horde	89.7	40	Feb 19	1:52:23	Earthfury Helmet (16842)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Whipvine Cord (18327)	Earthfury Legguards (16843)	Boots of the Full Moon (18507)	Earthfury Bracers (16840)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Emerald Flame Ring (18395)	Second Wind (11819)	Royal Seal of Eldre'Thalas (18471)	Archivist Cape (13386)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
62	Dishragg	N/A	Unknown	89.3	40	Mar 2	2:01:51	Tribal War Feathers (12960)	Barbed Thorn Necklace (18289)	Shroud of the Nathrezim (18720)	Earthfury Vestments (16841)	Earthfury Belt (16838)	Legplates of Ten Storms (16946)	Waterspout Boots (18322)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Band of Rumination (18103)	Eye of Orgrimmar (12545)	Burst of Knowledge (11832)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Guiding Stave of Wisdom (11932)	N/A	N/A
63	Paratall	SQUAWK	Horde	89.2	40	Feb 12	1:05:18	Green Lens (10504)	Frostwolf Advisor's Pendant (19096)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Padre's Trousers (18386)	Boots of the Full Moon (18507)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
64	Avoidtoo	SQUAWK	Horde	88.8	40	Mar 16	1:06:41	Insightful Hood (18490)	Frostwolf Advisor's Pendant (19096)	Living Shoulders (15061)	Red Dragonscale Breastplate (15047)	Magnificent Belt (15673)	High Councillor's Pants (10141)	Boots of the Full Moon (18507)	Mercurial Bracers (10156)	Nightshade Gloves (10225)	Ring of Demonic Guile (18314)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18471)	Eye of the Beast (13968)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Arachnidian Branch (15985)	N/A
65	Daxdax	SQUAWK	Horde	88.4	41	Feb 13	52:47	Insightful Hood (18490)	Frostwolf Advisor's Pendant (19096)	Living Shoulders (15061)	Red Dragonscale Breastplate (15047)	Frostwolf Cloth Belt (19090)	Padre's Trousers (18386)	Dragonrider Boots (18102)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Vanadium Loop (11989)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Master's Cloak (10249)	Mastersmith's Hammer (18048)	Bloodwoven Rod (15982)	N/A
66	Ryda	Red Pandas	Horde	87.7	40	Jan 26	1:31:04	Coif of Elements (16667)	Star of Mystaria (12103)	Lead Surveyor's Mantle (11842)	Robe of Everlasting Night (18385)	Barrage Girdle (18721)	Luminary Kilt (11823)	Omnicast Boots (11822)	Sublime Wristguards (18497)	Earthfury Gauntlets (16839)	Eye of Orgrimmar (12545)	Blood of the Martyr (17045)	Briarwood Reed (12930)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Rod of the Ogre Magi (18534)	N/A	Egan's Blaster (13289)
67	언제나휴가중	그그	Horde	87.5	40	Feb 9	1:45:18	Tribal War Feathers (12960)	Frostwolf Advisor's Pendant (19096)	Living Shoulders (15061)	Robes of the Exalted (13346)	Frostwolf Cloth Belt (19090)	Silvermoon Leggings (18378)	Dragonrider Boots (18102)	Bindings of Elements (16671)	Blood Guard's Mail Vices (22867)	Seal of Rivendare (13345)	Emperor's Seal (11934)	Rune of the Guard Captain (19120)	Royal Seal of Eldre'Thalas (18471)	Hide of the Wild (18510)	Annihilator (12798)	Lei of the Lifegiver (19312)	N/A
68	Shockferi	N/A	Unknown	87.4	38	Jan 30	1:14:33	Helmet of Ten Storms (16947)	Tooth of Gnarr (13141)	Burial Shawl (18681)	Earthfury Vestments (16841)	Barrage Girdle (18721)	Legplates of Ten Storms (16946)	Waterspout Boots (18322)	Loomguard Armbraces (13969)	Hands of Power (13253)	Blood of the Martyr (17045)	Cyclopean Band (11824)	Briarwood Reed (12930)	Eye of the Beast (13968)	Deep Woodlands Cloak (19121)	Witchblade (13964)	Malistar's Defender (17106)	N/A
