Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
57	Lerathiel	N/A	Unknown	240.2	18	May 13	1:20	Judgment Crown (16955)	Talisman of Protection (19871)	Lawbringer Spaulders (16856)	Knight-Captain's Lamellar Breastplate (23272)	Lawbringer Belt (16858)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Zandalar Freethinker's Armguards (19827)	Deathbone Gauntlets (14622)	Overlord's Crimson Band (19873)	Heavy Dark Iron Ring (18879)	Zandalarian Hero Charm (19950)	Force of Will (11810)	Overlord's Embrace (19888)	Quel'Serrar (18348)	The Immovable Object (19321)	N/A
58	Blessedaura	Mythic	Alliance	239.9	20	Jun 15	1:18	Judgment Crown (16955)	Heathen's Brand (19586)	Stockade Pauldrons (14552)	Zandalar Freethinker's Breastplate (19825)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Zandalar Freethinker's Armguards (19827)	Bloodsoaked Gauntlets (19894)	Seal of the Gurubashi Berserker (22722)	Overlord's Onyx Band (19912)	Briarwood Reed (12930)	Mark of the Chosen (17774)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Aegis of the Blood God (19862)	Libram of Hope (22401)
59	Tarios	Stadtwerke Sturmwind	Alliance	239.7	17	May 16	1:05	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Stockade Pauldrons (14552)	Deathbone Chestplate (14624)	Deathbone Girdle (14620)	Bloodsoaked Legplates (19855)	Core Forged Greaves (18806)	Lawbringer Bracers (16857)	Stonegrip Gauntlets (13072)	Overlord's Onyx Band (19912)	Heavy Dark Iron Ring (18879)	Force of Will (11810)	Onyxia Blood Talisman (18406)	Overlord's Embrace (19888)	Quel'Serrar (18348)	Draconian Deflector (12602)	Libram of Hope (22401)
60	Benpai	N/A	Unknown	238.9	20	Jun 14	0:53	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Judgment Belt (16952)	Knight-Captain's Lamellar Leggings (23273)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Overlord's Onyx Band (19912)	Overlord's Crimson Band (19873)	Force of Will (11810)	Briarwood Reed (12930)	Overlord's Embrace (19888)	Lok'amir il Romathis (19360)	Aegis of the Blood God (19862)	Egan's Blaster (13289)
61	Lerdina	Numenorian	Alliance	238.1	16	Jun 5	0:47	Judgment Crown (16955)	Onyxia Tooth Pendant (18404)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Girdle of the Fallen Crusader (19392)	Judgment Legplates (16954)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Overlord's Onyx Band (19912)	Heavy Dark Iron Ring (18879)	Essence of the Pure Flame (18815)	Briarwood Reed (12930)	Zulian Tigerhide Cloak (19907)	Azuresong Mageblade (17103)	Aegis of the Blood God (19862)	Libram of Hope (22401)
62	Phailadin	N/A	Unknown	233.7	20	Jun 30	0:49	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Lawbringer Chestguard (16853)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Overlord's Onyx Band (19912)	Naglering (11669)	Styleen's Impeding Scarab (19431)	Onyxia Blood Talisman (18406)	Overlord's Embrace (19888)	Thunderfury, Blessed Blade of the Windseeker (19019)	Drillborer Disk (17066)	N/A
63	Macevindaloo	The Destined Few	Alliance	232.6	20	Jun 1	0:57	Field Marshal's Lamellar Faceguard (16474)	Medallion of Steadfast Might (17065)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Girdle of the Fallen Crusader (19392)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Soulforge Bracers (22088)	Marshal's Lamellar Gloves (16471)	Naglering (11669)	Don Julio's Band (19325)	Stormpike Insignia Rank 6 (17904)	Zandalarian Hero Charm (19950)	Overlord's Embrace (19888)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Aegis (18825)	Libram of Hope (22401)
64	Loilotheholy	N/A	Unknown	232.5	20	Jul 8	0:28	Judgment Crown (16955)	Jeklik's Opaline Talisman (19923)	Stockade Pauldrons (14552)	Lawbringer Chestguard (16853)	Feralsurge Girdle (18104)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Bracers of Valor (16735)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Songstone of Ironforge (12543)	Zandalarian Hero Charm (19950)	Onyxia Blood Talisman (18406)	Cloak of the Hakkari Worshippers (22711)	Ancient Hakkari Manslayer (19852)	Skullflame Shield (1168)	N/A
65	Alexänder	N/A	Unknown	230.5	20	Jun 4	1:14	Judgment Crown (16955)	Drakefire Amulet (16309)	Judgment Spaulders (16953)	Spiderfang Carapace (11633)	Judgment Belt (16952)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Songstone of Ironforge (12543)	Ring of Demonic Potency (18315)	Burst of Knowledge (11832)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Lok'amir il Romathis (19360)	Aegis of the Blood God (19862)	N/A
66	Gudrunn	N/A	Unknown	230.2	20	May 23	0:57	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Judgment Belt (16952)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Naglering (11669)	Styleen's Impeding Scarab (19431)	Onyxia Blood Talisman (18406)	Redoubt Cloak (18495)	Bloodcaller (19864)	Aegis of the Blood God (19862)	Egan's Blaster (13289)
67	仙女小妹	N/A	Unknown	229.7	20	May 2	1:20	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Stockade Pauldrons (14552)	Judgment Breastplate (16958)	Lawbringer Belt (16858)	Judgment Legplates (16954)	Boots of Avoidance (14549)	Lawbringer Bracers (16857)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Band of Sulfuras (19138)	Onyxia Blood Talisman (18406)	Styleen's Impeding Scarab (19431)	Elementium Threaded Cloak (19386)	Quel'Serrar (18348)	Elementium Reinforced Bulwark (19349)	Egan's Blaster (13289)
68	Thegrave	Defias Brotherhood PUG	Alliance	227.1	20	Jun 15	1:10	Field Marshal's Lamellar Faceguard (16474)	Amulet of the Darkmoon (19491)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Judgment Belt (16952)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Hand of Justice (11815)	Counterattack Lodestone (18537)	Overlord's Embrace (19888)	Grand Marshal's Swiftblade (23456)	Drillborer Disk (17066)	Egan's Blaster (13289)
69	Helldivah	N/A	Unknown	226.1	19	Jun 15	1:14	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Sulfuras (19138)	Heavy Dark Iron Ring (18879)	Darkmoon Card: Maelstrom (19289)	Styleen's Impeding Scarab (19431)	Cloak of the Brood Lord (19378)	Thunderfury, Blessed Blade of the Windseeker (19019)	Grand Marshal's Aegis (18825)	Egan's Blaster (13289)
70	Stunmedaddy	N/A	Unknown	224.0	17	May 14	1:08	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Field Marshal's Lamellar Chestplate (16473)	Girdle of the Fallen Crusader (19392)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Naglering (11669)	Heavy Dark Iron Ring (18879)	Zandalarian Hero Charm (19950)	Styleen's Impeding Scarab (19431)	Overlord's Embrace (19888)	Flurry Axe (871)	Drillborer Disk (17066)	N/A
71	Aizsargs	N/A	Unknown	223.2	20	May 8	1:11	Judgment Crown (16955)	Stormpike Sage's Pendant (19098)	Stockade Pauldrons (14552)	Knight-Captain's Lamellar Breastplate (23272)	Lightforge Belt (16723)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Bracers of Valor (16735)	Deathbone Gauntlets (14622)	Drakeclaw Band (10795)	Naglering (11669)	Stormpike Insignia Rank 6 (17904)	Mark of the Chosen (17774)	Stormpike Sage's Cloak (19086)	Hanzo Sword (8190)	The Immovable Object (19321)	N/A
72	Кирпал	Р е в а н ш	Alliance	221.8	16	Jun 7	1:15	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Lawbringer Chestguard (16853)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Lawbringer Gauntlets (16860)	Heavy Dark Iron Ring (18879)	Band of Sulfuras (19138)	Onyxia Blood Talisman (18406)	Essence of the Pure Flame (18815)	Redoubt Cloak (18495)	Azuresong Mageblade (17103)	Elementium Reinforced Bulwark (19349)	Egan's Blaster (13289)
