Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
38	Litz	N/A	Unknown	53.4	38	May 11	2:02:48	Judgment Crown (16955)	Animated Chain Necklace (18723)	Lieutenant Commander's Lamellar Shoulders (23277)	Robes of the Exalted (13346)	Barrage Girdle (18721)	Judgment Legplates (16954)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Lawbringer Gauntlets (16860)	Fordring's Seal (16058)	Rosewine Circle (13178)	Zandalarian Hero Charm (19950)	Second Wind (11819)	Cloak of the Cosmos (18389)	Azuresong Mageblade (17103)	Lei of the Lifegiver (19312)	N/A
39	Skylite	Bedlam	Alliance	53.2	40	May 10	1:22:27	Judgment Crown (16955)	Animated Chain Necklace (18723)	Field Marshal's Lamellar Pauldrons (16476)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18472)	Archivist Cape (13386)	Zulian Scepter of Rites (22713)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
40	Canon	Live Lucky	Alliance	52.7	40	Jun 4	36:27	Zulian Headdress (22720)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Empowered Leggings (19385)	Boots of Pure Thought (19437)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Cauterizing Band (19140)	Fordring's Seal (16058)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Red Dragonscale Protector (19348)	Egan's Blaster (13289)
41	Zerathion	N/A	Unknown	51.8	40	May 7	1:36:50	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Lawbringer Boots (16859)	Judgment Bindings (16951)	Lawbringer Gauntlets (16860)	Ring of Binding (18813)	Heavy Dark Iron Ring (18879)	Styleen's Impeding Scarab (19431)	Onyxia Blood Talisman (18406)	Fireproof Cloak (18811)	Quel'Serrar (18348)	Drillborer Disk (17066)	N/A
42	Wryam	Whelplings	Alliance	51.4	38	Apr 9	3:02:43	Lieutenant Commander's Lamellar Headguard (23276)	Eskhandar's Collar (18205)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Brigam Girdle (13142)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lightforge Bracers (16722)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Ring of Binding (18813)	Songstone of Ironforge (12543)	Stormpike Insignia Rank 6 (17904)	Sanctified Orb (20512)	Onyxia Scale Cloak (15138)	Mastersmith's Hammer (18048)	Draconian Deflector (12602)	N/A
43	Jaszper	Local Barbarians	Alliance	50.0	39	Apr 5	1:32:03	Lieutenant Commander's Lamellar Headguard (23276)	Animated Chain Necklace (18723)	Judgment Spaulders (16953)	Lawbringer Chestguard (16853)	Whipvine Cord (18327)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18472)	High Councillor's Cloak (10138)	The Hammer of Grace (11923)	Brightly Glowing Stone (18523)	Egan's Blaster (13289)
44	Pibbs	Disaster	Alliance	49.7	40	Apr 13	1:26:41	Judgment Crown (16955)	Tooth of Gnarr (13141)	Wild Growth Spaulders (18810)	Red Dragonscale Breastplate (15047)	Lawbringer Belt (16858)	Salamander Scale Pants (18875)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Judgment Gauntlets (16956)	Fordring's Seal (16058)	Songstone of Ironforge (12543)	Royal Seal of Eldre'Thalas (18472)	Second Wind (11819)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
45	Salvd	Surge	Alliance	48.8	40	May 9	39:58	Insightful Hood (18490)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Empowered Leggings (19385)	Marshal's Lamellar Boots (16472)	Loomguard Armbraces (13969)	Voone's Vice Grips (13963)	Fordring's Seal (16058)	Rosewine Circle (13178)	Nat Pagle's Broken Reel (19947)	Royal Seal of Eldre'Thalas (18472)	Hide of the Wild (18510)	Annihilator (12798)	Torch of Holy Flame (7344)	Egan's Blaster (13289)
46	Shekset	Slembolaget	Alliance	48.2	40	Jun 9	42:18	Judgment Crown (16955)	Animated Chain Necklace (18723)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Stormpike Cloth Girdle (19094)	Judgment Legplates (16954)	Lawbringer Boots (16859)	Lawbringer Bracers (16857)	Peacekeeper Gauntlets (20264)	Primalist's Band (19920)	Seal of the Archmagus (17110)	Sanctified Orb (20512)	Mar'li's Eye (19930)	Hakkari Loa Cloak (19870)	Azuresong Mageblade (17103)	Skullflame Shield (1168)	N/A
47	一场空	N/A	Unknown	48.0	38	May 9	1:34:43	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Girdle of the Fallen Crusader (19392)	Judgment Legplates (16954)	Lawbringer Boots (16859)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Sulfuras (19138)	Heavy Dark Iron Ring (18879)	Styleen's Impeding Scarab (19431)	Onyxia Blood Talisman (18406)	Elementium Threaded Cloak (19386)	Quel'Serrar (18348)	Elementium Reinforced Bulwark (19349)	N/A
