Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
31	Bigmacker	Awakening	Alliance	311.5	39	Aug 13	1:40:57	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Field Marshal's Lamellar Chestplate (16473)	Ossirian's Binding (21463)	Legguards of the Fallen Crusader (19402)	Chromatic Boots (19387)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Stoneskin Gargoyle Cape (13397)	Grand Marshal's Battle Hammer (18867)	N/A	Libram of Fervor (23203)
32	Sealtwix	N/A	Unknown	309.0	40	Aug 8	1:19:45	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Hive Defiler Wristguards (21618)	Flameguard Gauntlets (19143)	Master Dragonslayer's Ring (19384)	Signet Ring of the Bronze Dragonflight (21203)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
33	Pamper	N/A	Unknown	307.1	40	Aug 13	1:08:42	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Belt of Preserved Heads (20216)	Avenger's Legguards (21390)	Bloodmail Boots (14616)	Wristguards of True Flight (18812)	Gauntlets of the Righteous Champion (21623)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Libram of Fervor (23203)
34	圣什么骑	New Light	Alliance	303.7	40	Aug 15	2:18:32	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Ossirian's Binding (21463)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of True Flight (18812)	Gauntlets of the Righteous Champion (21623)	Signet Ring of the Bronze Dragonflight (21203)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Kalimdor's Revenge (21679)	N/A	Libram of Hope (22401)
35	Saurathon	N/A	Unknown	303.0	41	Aug 16	2:13:06	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Field Marshal's Lamellar Chestplate (16473)	Ossirian's Binding (21463)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Bracers of Brutality (21457)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
36	Gooblerz	Set Sail	Alliance	299.5	40	Aug 18	1:15:00	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
37	Byths	Damaged Minds	Alliance	295.7	40	Aug 17	1:02:02	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Triad Girdle (21692)	Avenger's Legguards (21390)	Marshal's Lamellar Boots (16472)	Bracers of Brutality (21457)	Marshal's Lamellar Gloves (16471)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
38	Senpaidoge	Fusk og Sjusk	Alliance	293.8	41	Aug 14	1:36:37	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Belt of Preserved Heads (20216)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of Stability (19146)	Flameguard Gauntlets (19143)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Dark Edge of Insanity (21134)	N/A	N/A
39	Bobbymercer	HUNKS	Alliance	290.8	40	Jul 30	54:06	Lionheart Helm (12640)	Blazefury Medallion (17111)	Drake Talon Pauldrons (19394)	Field Marshal's Lamellar Chestplate (16473)	Belt of Shrunken Heads (20213)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Abyssal Plate Vambraces (20687)	Sacrificial Gauntlets (22714)	Circle of Applied Force (19432)	Ring of Fury (21477)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cloak of Firemaw (19398)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
40	一境武夫	N/A	Unknown	289.1	40	Aug 14	1:39:10	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Ossirian's Binding (21463)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of Stability (19146)	Gauntlets of the Righteous Champion (21623)	Don Julio's Band (19325)	Signet Ring of the Bronze Dragonflight (21204)	Scrolls of Blinding Light (19343)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	The Untamed Blade (19334)	N/A	Libram of Hope (22401)
41	스탄코비치	해줘신뢰	Alliance	283.3	40	Aug 16	1:37:38	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Malfurion's Blessed Bulwark (19405)	Onslaught Girdle (19137)	Avenger's Legguards (21390)	Slime Kickers (21490)	Wristguards of True Flight (18812)	Sacrificial Gauntlets (22714)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cloak of Draconic Might (19436)	Nightfall (19169)	N/A	Libram of Fervor (23203)
42	Dahlvyn	N/A	Unknown	276.9	40	Aug 14	1:36:09	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	Avenger's Legguards (21390)	Knight-Lieutenant's Lamellar Sabatons (23275)	Wristguards of True Flight (18812)	Sacrificial Gauntlets (22714)	Magni's Will (12548)	Don Julio's Band (19325)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Might of the Tribe (22712)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Libram of Fervor (23203)
43	Kinneas	Hardened	Alliance	274.7	40	Jul 31	1:35:00	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Savage Gladiator Chain (11726)	Ossirian's Binding (21463)	Legguards of the Fallen Crusader (19402)	Avenger's Greaves (21388)	Wristguards of Stability (19146)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Signet Ring of the Bronze Dragonflight (21201)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Nightfall (19169)	N/A	Libram of Fervor (23203)
44	Naimo	Curmudgeons	Alliance	273.4	40	Aug 7	1:50:29	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Onslaught Girdle (19137)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Signet Ring of the Bronze Dragonflight (21204)	Circle of Applied Force (19432)	Darkmoon Card: Maelstrom (19289)	Heart of Wyrmthalak (22321)	Cape of Eternal Justice (21397)	Grand Marshal's Claymore (18876)	N/A	Libram of Fervor (23203)
45	Lightsoul	Mythodical	Alliance	272.4	40	Aug 13	2:28:25	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Avenger's Breastplate (21389)	Girdle of the Fallen Crusader (19392)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Master Dragonslayer's Ring (19384)	Circle of Applied Force (19432)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Battle Hammer (18867)	N/A	Libram of Fervor (23203)
46	Fartguy	Saga	Alliance	263.3	40	Aug 14	2:01:25	Lionheart Helm (12640)	Amulet of the Darkmoon (19491)	Drake Talon Pauldrons (19394)	Avenger's Breastplate (21389)	Therazane's Link (19380)	Avenger's Legguards (21390)	Marshal's Lamellar Boots (16472)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cape of the Black Baron (13340)	N/A	Ancient Cornerstone Grimoire (17067)	Libram of Fervor (23203)
